symbol,trades,wins,losses,avg_pct,total_pct
SOLUSDT,15,13,2,0.1507708826602127,2.261563239903191
BTCUSDT,10,10,0,0.2954801113127469,2.9548011131274685
ETHUSDT,16,12,4,0.052338083110146316,0.8374093297623411
ADAUSDT,15,12,3,-0.09885870276599505,-1.4828805414899258
LINKUSDT,14,11,3,0.034981381093290756,0.4897393353060706
XRPUSDT,17,14,3,0.06061407016109907,1.0304391927386842
AVAXUSDT,21,15,6,-0.12020871614220568,-2.5243830389863193
DOTUSDT,17,11,6,-0.3514121079287461,-5.9740058347886835
ATOMUSDT,17,15,2,0.18541660295213463,3.1520822501862886
HBARUSDT,25,24,1,0.3132154896717113,7.830387241792782
CROUSDT,12,11,1,0.18595456107841443,2.231454732940973
SUIUSDT,9,8,1,0.09942749824923848,0.8948474842431463
